Id;name;id_operators_name
69;ПАО Мобильные ТелеСистемы;MTS
70;Мобильные ТелеСистемы ПАО;MTS
71;MTS;MTS
72;STELS;MTS
73;Сотовая связь Башкортостана ОАО;MTS
74;SSBA;MTS
75;MKS;MTS
76;АПЕКС;АПЕКС
77;АО АПЕКС;АПЕКС
78;АПЕКС ОАО;АПЕКС
79;Лайкамобайл;Лайкамобайл
80;ООО Лайкамобайл;Лайкамобайл
81;Лайкамобайл ООО;Лайкамобайл
82;Lycamobile;Лайкамобайл
83;ALFAMOBAIL;Лайкамобайл
84;ДЭНИ КОЛЛ;ДЭНИ КОЛЛ
85;ООО ДЭНИ КОЛЛ;ДЭНИ КОЛЛ
86;ДЭНИ КОЛЛ ООО;ДЭНИ КОЛЛ
87;DanieCall;ДЭНИ КОЛЛ
88;МегаФон;Megafon
89;ПАО МегаФон;Megafon
90;МегаФон ПАО;Megafon
91;MEGAFON;Megafon
92;МОБИКОМ ВОЛГА АО;Megafon
93;СМАРТС-Чебоксары ЗАО;Megafon
94;SMARTS;Megafon
95;Ярославль-GSM ЗАО;Megafon
96;JAROSLAV;Megafon
97;Астрахань - GSM ЗАО;Megafon
98;ASTRGSM;Megafon
99;SUPASKAR;Megafon
100;АКОС;АКОС
101;ЗАО АКОС;АКОС
102;АКОС АО;АКОС
103;AKOS;АКОС
104;ROS;АКОС
105;ТМТ;ТМТ
106;ООО ТМТ;ТМТ
107;Твои мобильные технологии ООО;ТМТ
108;SMARTSK;ТМТ
109;СИБИНТЕРТЕЛЕКОМ;СИБИНТЕРТЕЛЕКОМ
110;АО СИБИНТЕРТЕЛЕКОМ;СИБИНТЕРТЕЛЕКОМ
111;SIBINTEK;СИБИНТЕРТЕЛЕКОМ
112;НЦИ;НЦИ
113;ООО НЦИ;НЦИ
114;ТрансМобилКом;ТрансМобилКом
115;ООО ТрансМобилКом;ТрансМобилКом
116;Спринт;Спринт
117;ООО Спринт;Спринт
118;Спринт ООО;Спринт
119;SPRINT;Спринт
120;Интернод;Интернод
121;ООО Интернод;Интернод
122;Интернод ООО;Интернод
123;Internod;Интернод
124;Скай Нетворкс;Скай Нетворкс
125;ООО Скай Нетворкс;Скай Нетворкс
126;Скай Нетворкс ООО;Скай Нетворкс
127;МСН Телеком;МСН Телеком
128;ООО МСН Телеком;МСН Телеком
129;МСН Телеком ООО;МСН Телеком
130;MSNTELECOM;МСН Телеком
131;Telecom;МСН Телеком
132;ОБИТ;ОБИТ
133;ООО ОБИТ;ОБИТ
134;ВТБ Мобайл;ВТБ Мобайл
135;ООО ВТБ Мобайл;ВТБ Мобайл
136;ВТБ Мобайл ООО;ВТБ Мобайл
137;VTBMOBAYL;ВТБ Мобайл
138;VTKMOBAIL;ВТБ Мобайл
139;MOYOPER;ВТБ Мобайл
140;Астран;Астран
141;ООО Астран;Астран
142;Астран ООО;Астран
143;ASTRAN;Астран
144;СВЯЗЬРЕСУРС-МОБАЙЛ;СВЯЗЬРЕСУРС-МОБАЙЛ
145;ООО СВЯЗЬРЕСУРС-МОБАЙЛ;СВЯЗЬРЕСУРС-МОБАЙЛ
146;Em;СВЯЗЬРЕСУРС-МОБАЙЛ
147;Таттелеком;Таттелеком
148;ПАО Таттелеком;Таттелеком
149;Таттелеком ПАО;Таттелеком
150;TATTELEKOM;Таттелеком
151;МАТРИКС телеком;МАТРИКС телеком
152;ООО МАТРИКС телеком;МАТРИКС телеком
153;МАТРИКС телеком ООО;МАТРИКС телеком
